height,scending,wdir,wspeed,sigma_vv,sigma_vh,incidence
4.0,Ascending,132,4.0,0.010383147,0.0011050138,37.41567
4.0,Ascending,201,5.9,0.01198283,0.0011133106,37.411446
4.0,Ascending,225,10.4,0.045520935,0.0014844771,37.410484
5.0,Ascending,181,4.4,0.0034537022,0.00045696535,44.246033
5.0,Ascending,193,3.4,0.003124094,0.0004538051,44.24923
5.0,Ascending,199,4.7,0.004524675,0.00046277195,44.24738
5.0,Ascending,222,3.0,0.0031745012,0.0004525249,44.24985
4.0,Ascending,194,5.8,0.021996798,0.0018057171,32.797337
4.0,Ascending,195,6.0,0.022146985,0.0018472959,32.79848
4.0,Ascending,218,1.5,0.0065213377,0.0018066275,32.79806
4.0,Ascending,121,5.9,0.023617478,0.001716431,33.452286
4.0,Ascending,138,5.3,0.016063347,0.001783106,33.44372
4.0,Ascending,139,4.2,0.011748006,0.0017952495,33.446438
4.0,Ascending,149,6.4,0.017774826,0.0019348847,33.447487
4.0,Ascending,164,4.5,0.015784187,0.001803719,33.451416
4.0,Ascending,186,7.4,0.0045882,0.0007967274,45.181118
4.0,Ascending,96,4.2,0.0039492687,0.00037771353,43.930344
4.0,Ascending,105,3.6,0.028653672,0.0020277738,31.873625
4.0,Ascending,127,5.0,0.0052859304,0.0004005621,43.9256
4.0,Ascending,134,6.1,0.04362999,0.0020536806,31.873213
4.0,Ascending,146,1.2,0.0007283467,0.00036939012,43.929184
4.0,Ascending,155,4.3,0.0037555385,0.00045240822,43.926586
4.0,Ascending,206,3.0,0.0024283172,0.0003856266,43.92292
4.0,Ascending,223,0.9,0.004021457,0.001975762,31.871822
4.0,Ascending,215,7.0,0.009791431,0.001271119,41.684864
4.0,Ascending,217,5.7,0.008096561,0.001259746,41.683964
4.0,Ascending,275,3.3,0.002958101,0.0012507846,41.684486
5.0,Ascending,203,4.8,0.015642753,0.0015765699,33.67167
5.0,Ascending,205,7.9,0.006280375,0.00056720444,44.65348
5.0,Ascending,228,8.5,0.03860826,0.0017104896,33.677006
2.95,Ascending,162,4.7,0.015423755,0.0018417713,32.875496
2.95,Ascending,174,3.0,0.0028703574,0.0018464467,32.880264
2.95,Ascending,196,6.7,0.027903378,0.0019156019,32.879578
2.95,Ascending,208,6.9,0.030780563,0.0019087135,32.877026
2.95,Ascending,189,3.6,0.025347084,0.0026646124,30.848679
2.95,Ascending,199,3.0,0.021757536,0.0026308747,30.854288
2.95,Ascending,203,4.2,0.0450398,0.0027014546,30.852884
2.95,Ascending,212,4.6,0.04193166,0.0027402071,30.850227
4.0,Ascending,84,5.8,0.012823516,0.00065450935,42.4647
4.0,Ascending,98,9.1,0.032383647,0.00093368406,42.46724
4.0,Ascending,125,4.3,0.008486534,0.0006217113,42.463295
3.5,Ascending,211,7.3,0.0077479426,0.0011092171,41.801395
2.95,Ascending,205,4.6,0.011205569,0.0016351361,35.639107
2.95,Ascending,212,2.3,0.002952354,0.0015859716,35.643665
2.95,Ascending,226,6.9,0.022523426,0.0016376202,35.642982
2.95,Ascending,228,7.6,0.021457024,0.0017129281,35.640587
5.0,Ascending,204,5.7,0.0072008553,0.0009291649,40.547264
3.1,Ascending,334,3.7,0.0042411895,0.0007910895,40.132545
3.1,Ascending,348,5.5,0.0056457235,0.00081219024,40.136944
5.0,Ascending,24,2.0,0.0026798155,0.00041969377,43.371513
5.0,Ascending,133,7.9,0.009826687,0.00047438688,43.37634
3.1,Ascending,2,3.6,0.011066628,0.0015167334,35.658432
3.1,Ascending,15,2.7,0.0054128272,0.0015276319,35.65302
5.0,Ascending,8,4.9,0.0233539,0.0017998986,32.0262
4.0,Ascending,181,7.5,0.014092758,0.0016298967,35.57345
3.4,Ascending,92,0.6,0.0023998069,0.0009553033,40.55959
3.4,Ascending,124,6.2,0.014225092,0.0010401877,40.564793
5.0,Ascending,344,4.7,0.0072934562,0.00091609213,39.326416
5.0,Ascending,20,8.0,0.026135208,0.002865294,35.369583
5.0,Ascending,63,1.5,0.0065927217,0.003023011,35.366573
5.0,Ascending,151,6.3,0.013650567,0.0029200432,35.370373
5.0,Ascending,184,10.4,0.023737624,0.0041712043,35.371185
5.0,Ascending,75,5.8,0.016298618,0.00087346113,38.845867
5.0,Ascending,197,5.7,0.005765357,0.000806398,38.850647
5.0,Ascending,197,10.8,0.013853556,0.0013284296,40.96661
3.0,Ascending,32,1.9,0.03275866,0.008641939,40.112286
3.0,Ascending,147,3.9,0.046065558,0.002295444,32.1
3.0,Ascending,188,4.9,0.016713716,0.0022174476,32.10551
5.0,Ascending,96,7.4,0.022288412,0.0010651348,38.431812
5.0,Ascending,96,7.4,0.0,0.0010651348,38.431812
5.0,Ascending,198,12.4,0.024476532,0.0016007309,38.437447
5.0,Ascending,209,4.7,0.010399799,0.0009837719,38.432823
5.0,Ascending,90,6.6,0.014172272,0.0005148468,42.987747
5.0,Ascending,192,8.4,0.006685163,0.00053977885,42.992825
5.0,Ascending,198,3.8,0.018502306,0.0019044294,32.313686
5.0,Ascending,209,5.6,0.0057541397,0.0004631411,42.9886
5.0,Ascending,213,6.4,0.032995895,0.0019194538,32.317898
5.0,Ascending,234,5.1,0.03223744,0.0019544503,32.310333
5.0,Ascending,235,3.0,0.009241387,0.0018778254,32.315655
3.0,Ascending,121,6.6,0.049745373,0.002311874,31.525944
3.0,Ascending,240,4.5,0.018355858,0.0021433705,31.531519
3.0,Ascending,355,5.6,0.0050899494,0.00058794563,42.687172
5.0,Ascending,17,4.9,0.014654306,0.0015087979,32.25573
5.0,Ascending,70,4.5,0.031129394,0.0015355601,32.250774
5.0,Ascending,82,7.1,0.023963032,0.00089733,39.697414
5.0,Ascending,274,2.9,0.00059563195,0.0006172352,39.695114
5.0,Ascending,289,5.9,0.026749881,0.0012585134,34.443787
5.0,Ascending,354,3.1,0.0038073459,0.0011428763,34.44789
4.0,Ascending,78,10.7,0.07972882,0.001601036,37.611496
5.0,Ascending,22,12.1,0.0375842,0.0011373004,38.38768
5.0,Ascending,248,7.7,0.022404056,0.00086023094,38.382412
5.0,Ascending,80,2.2,0.0014928075,0.0011737812,33.96605
5.0,Ascending,171,4.9,0.009466387,0.0016280779,33.970203
5.0,Ascending,233,4.1,0.011917286,0.001597312,33.974808
5.0,Ascending,254,5.7,0.006246266,0.0004039698,43.746845
2.95,Ascending,237,0.0,0.0009459238,0.00069183257,38.87138
2.95,Ascending,333,2.2,0.0042435075,0.00072479906,38.87626
3.0,Ascending,236,9.4,0.05787992,0.0021068368,34.203644
3.0,Ascending,254,7.0,0.012952394,0.0006434842,43.38071
2.3,Ascending,64,2.2,0.001564392,0.0008486314,37.25611
2.3,Ascending,78,7.9,0.043662284,0.0012786292,37.261528
2.3,Ascending,67,9.3,0.069825664,0.0020013126,34.367992
