sar,station,wdir,wspeed
S1A_IW_GRDH_1SDV_20170723T225031_20170723T225056_017605_01D74D_AA68,44065, 96,7.4
S1A_IW_GRDH_1SDV_20170723T225031_20170723T225056_017605_01D74D_AA68,44066, 90,6.6
S1A_IW_GRDH_1SDV_20170723T224916_20170723T224941_017605_01D74D_1B1F,41001,225,10.4
S1A_IW_GRDH_1SDV_20170721T230518_20170721T230543_017576_01D66A_0AA2,41037,208,6.9
S1A_IW_GRDH_1SDV_20170721T230518_20170721T230543_017576_01D66A_0AA2,41038,212,4.6
S1A_IW_GRDH_1SDV_20170721T230518_20170721T230543_017576_01D66A_0AA2,41064,228,7.6
S1A_IW_GRDH_1SDV_20170721T230453_20170721T230518_017576_01D66A_9258,41002,199,4.7
S1A_IW_GRDH_1SDV_20170719T232015_20170719T232040_017547_01D590_DF13,41009,139,4.2
S1A_IW_GRDH_1SDV_20170719T232015_20170719T232040_017547_01D590_DF13,41010,127,5.0
S1A_IW_GRDH_1SDV_20170718T224221_20170718T224246_017532_01D51F_B909,44066,198,3.8
S1A_IW_GRDH_1SDV_20170714T231315_20170714T231340_017474_01D358_27B6,41004,195,6.0
S1A_IW_GRDH_1SDV_20170714T231315_20170714T231340_017474_01D358_27B6,41013,215,7.0
S1A_IW_GRDH_1SDV_20170714T231225_20170714T231250_017474_01D358_C337,41010,105,3.6
S1A_IW_GRDH_1SDV_20170713T223435_20170713T223504_017459_01D2E6_A83B,44013, 20,8.0
S1A_IW_GRDH_1SDV_20170713T223435_20170713T223504_017459_01D2E6_A83B,buzm3,  8,10.1
S1A_IW_GRDH_1SDV_20170713T222858_20170713T222923_017459_01D2E5_CFEC,41043, 84,5.8
S1A_IW_GRDH_1SDV_20170711T225030_20170711T225055_017430_01D200_45C1,44065,209,4.7
S1A_IW_GRDH_1SDV_20170711T225030_20170711T225055_017430_01D200_45C1,44066,209,5.6
S1A_IW_GRDH_1SDV_20170711T224915_20170711T224940_017430_01D200_26BF,41001,201,5.9
S1A_IW_GRDH_1SDV_20170709T230518_20170709T230543_017401_01D117_3E98,41037,162,4.7
S1A_IW_GRDH_1SDV_20170709T230518_20170709T230543_017401_01D117_3E98,41038,189,3.6
S1A_IW_GRDH_1SDV_20170709T230518_20170709T230543_017401_01D117_3E98,41064,205,4.6
S1A_IW_GRDH_1SDV_20170709T230453_20170709T230518_017401_01D117_1C5B,41002,181,4.4
S1A_IW_GRDH_1SDV_20170707T232015_20170707T232040_017372_01D037_7AB9,41009,138,5.3
S1A_IW_GRDH_1SDV_20170707T232015_20170707T232040_017372_01D037_7AB9,41010,206,3.0
S1A_IW_GRDH_1SDV_20170702T231315_20170702T231340_017299_01CE10_C1B4,41004,194,5.8
S1A_IW_GRDH_1SDV_20170702T231315_20170702T231340_017299_01CE10_C1B4,41013,217,5.7
S1A_IW_GRDH_1SDV_20170702T231225_20170702T231250_017299_01CE10_19A7,41010,223,0.9
S1A_IW_GRDH_1SDV_20170701T223434_20170701T223503_017284_01CD9C_8D22,44013,151,6.3
S1A_IW_GRDH_1SDV_20170701T223434_20170701T223503_017284_01CD9C_8D22,buzm3,193,9.7
S1A_IW_GRDH_1SDV_20170629T225030_20170629T225055_017255_01CCB2_7C93,44025,197,10.8
S1A_IW_GRDH_1SDV_20170629T225030_20170629T225055_017255_01CCB2_7C93,44065,198,12.4
S1A_IW_GRDH_1SDV_20170629T225030_20170629T225055_017255_01CCB2_7C93,44066,192,8.4
S1A_IW_GRDH_1SDV_20170629T224915_20170629T224940_017255_01CCB2_E50C,41001,132,4.0
S1A_IW_GRDH_1SDV_20170627T230517_20170627T230542_017226_01CBD2_7AE0,41037,174,3.0
S1A_IW_GRDH_1SDV_20170627T230517_20170627T230542_017226_01CBD2_7AE0,41038,199,3.0
S1A_IW_GRDH_1SDV_20170627T230517_20170627T230542_017226_01CBD2_7AE0,41064,212,2.3
S1A_IW_GRDH_1SDV_20170627T230452_20170627T230517_017226_01CBD2_C568,41002,222,3.0
S1A_IW_GRDH_1SDV_20170625T232014_20170625T232039_017197_01CAF4_5C68,41009,149,6.4
S1A_IW_GRDH_1SDV_20170625T232014_20170625T232039_017197_01CAF4_5C68,41010,155,4.3
S1A_IW_GRDH_1SDV_20170624T224220_20170624T224245_017182_01CA82_856D,44066,234,5.1
S1A_IW_GRDH_1SDV_20170620T231314_20170620T231339_017124_01C8C8_8CBB,41004,218,1.5
S1A_IW_GRDH_1SDV_20170620T231314_20170620T231339_017124_01C8C8_8CBB,41013,275,3.3
S1A_IW_GRDH_1SDV_20170620T231224_20170620T231249_017124_01C8C8_975E,41010,134,6.1
S1A_IW_GRDH_1SDV_20170619T223433_20170619T223502_017109_01C857_EA93,44013,184,10.4
S1A_IW_GRDH_1SDV_20170619T223433_20170619T223502_017109_01C857_EA93,buzm3,203,10.4
S1A_IW_GRDH_1SDV_20170619T222856_20170619T222921_017109_01C856_7E63,41043, 98,9.1
S1A_IW_GRDH_1SDV_20170601T232013_20170601T232038_016847_01C02F_EFDC,41009,164,4.5
S1A_IW_GRDH_1SDV_20170601T232013_20170601T232038_016847_01C02F_EFDC,41010,146,1.2
S1B_IW_GRDH_1SDV_20170531T233313_20170531T233338_005849_00A412_6C28,45004,289,5.9
S1B_IW_GRDH_1SDV_20170531T233313_20170531T233338_005849_00A412_6C28,stdm4,276,5.4
S1B_IW_GRDH_1SDV_20170531T233248_20170531T233313_005849_00A412_7D34,45175,314,5.3
S1B_IW_GRDH_1SDV_20170531T233223_20170531T233248_005849_00A412_807B,45002, 70,4.5
S1B_IW_GRDH_1SDV_20170531T233129_20170531T233158_005849_00A412_B336,45165,261,8.7
S1B_IW_GRDH_1SDV_20170531T233129_20170531T233158_005849_00A412_B336,sbio1,300,9.1
S1A_IW_GRDH_1SDV_20170531T224308_20170531T224333_016832_01BFC0_DEAB,44013,120,3.7
S1A_IW_GRDH_1SDV_20170531T224308_20170531T224333_016832_01BFC0_DEAB,iosn3,146,6.5
S1A_IW_GRDH_1SDV_20170531T224243_20170531T224308_016832_01BFC0_2B8B,buzm3,124,5.1
S1A_IW_GRDH_1SDV_20170531T224218_20170531T224243_016832_01BFC0_971B,44066,235,3.0
S1B_IW_GRDH_1SDV_20170531T104740_20170531T104759_005841_00A3D8_AB50,mism1,158,9.1
S1B_IW_GRDH_1SDV_20170531T035145_20170531T035210_005837_00A3B4_37E4,drfa2,212,1.1
S1B_IW_GRDH_1SDV_20170531T035120_20170531T035145_005837_00A3B4_4F2D,amaa2,324,1.8
S1B_IW_GRDH_1SDV_20170531T035120_20170531T035145_005837_00A3B4_4F2D,auga2,354,1.3
S1B_IW_GRDH_1SDV_20170531T035120_20170531T035145_005837_00A3B4_4F2D,fila2,336,0.9
S1B_IW_GRDH_1SDV_20170531T020929_20170531T020954_005836_00A3AE_A081,46099,131,3.7
S1B_IW_GRDH_1SDV_20170531T020929_20170531T020954_005836_00A3AE_A081,desw1,135,0.1
S1B_IW_GRDH_1SDV_20170531T020929_20170531T020954_005836_00A3AE_A081,ttiw1,999,99.0
S1B_IW_GRDH_1SDV_20170531T020904_20170531T020929_005836_00A3AE_D4BD,46100,149,3.0
S1B_IW_GRDH_1SDV_20170531T020904_20170531T020929_005836_00A3AE_D4BD,46243,999,99.0
S1B_IW_GRDH_1SDV_20170531T020904_20170531T020929_005836_00A3AE_D4BD,46248,999,99.0
S1B_IW_GRDH_1SDV_20170531T020839_20170531T020904_005836_00A3AE_F54B,46097,281,2.1
S1B_IW_GRDH_1SDV_20170531T020839_20170531T020904_005836_00A3AE_F54B,nwpo3,311,4.0
S1B_IW_GRDH_1SDV_20170531T020814_20170531T020839_005836_00A3AE_B1E8,46260,999,99.0
S1B_IW_GRDH_1SDV_20170531T020814_20170531T020839_005836_00A3AE_B1E8,46261,999,99.0
S1B_IW_GRDH_1SDV_20170531T020659_20170531T020724_005836_00A3AE_C021,46214,999,99.0
