height,scending,wdir,wspeed,sigma_vh,sigma_vv
4.0,Ascending,132,4.0,-29.56632310381069,0.010383147
4.0,Ascending,201,5.9,-29.533836665808213,0.01198283
4.0,Ascending,225,10.4,-28.284265041265456,0.045520935
5.0,Ascending,181,4.4,-33.4011672601647,0.0034537022
5.0,Ascending,193,3.4,-33.4313061393255,0.003124094
5.0,Ascending,199,4.7,-33.346329762602934,0.004524675
5.0,Ascending,222,3.0,-33.44357523643243,0.0031745012
4.0,Ascending,194,5.8,-27.43350283059781,0.021996798
4.0,Ascending,195,6.0,-27.33463532379575,0.022146985
4.0,Ascending,218,1.5,-27.431313849371644,0.0065213377
4.0,Ascending,121,5.9,-27.653736510309912,0.023617478
4.0,Ascending,138,5.3,-27.488228360920285,0.016063347
4.0,Ascending,139,4.2,-27.458751793988228,0.011748006
4.0,Ascending,149,6.4,-27.133449099514223,0.017774826
4.0,Ascending,164,4.5,-27.438311264414793,0.015784187
4.0,Ascending,186,7.4,-30.98690231260898,0.0045882
4.0,Ascending,96,4.2,-34.2283746042309,0.0039492687
4.0,Ascending,105,3.6,-26.929805002923217,0.028653672
4.0,Ascending,127,5.0,-33.97330143372591,0.0052859304
4.0,Ascending,134,6.1,-26.87467100077545,0.04362999
4.0,Ascending,146,1.2,-34.32514720580856,0.0007283467
4.0,Ascending,155,4.3,-33.444695148791325,0.0037555385
4.0,Ascending,206,3.0,-34.13833019436237,0.0024283172
4.0,Ascending,223,0.9,-27.042653805870266,0.004021457
4.0,Ascending,215,7.0,-28.958137923620537,0.009791431
4.0,Ascending,217,5.7,-28.997170016275007,0.008096561
4.0,Ascending,275,3.3,-29.028174706141236,0.002958101
5.0,Ascending,203,4.8,-28.022867795642878,0.015642753
5.0,Ascending,205,7.9,-32.4626038176877,0.006280375
5.0,Ascending,228,8.5,-27.668795556622637,0.03860826
2.95,Ascending,162,4.7,-27.347642988600214,0.015423755
2.95,Ascending,174,3.0,-27.336632347088226,0.0028703574
2.95,Ascending,196,6.7,-27.17694741539941,0.027903378
2.95,Ascending,208,6.9,-27.192592579698847,0.030780563
2.95,Ascending,189,3.6,-25.74365959757411,0.025347084
2.95,Ascending,199,3.0,-25.798998276282283,0.021757536
2.95,Ascending,203,4.2,-25.68402332650235,0.0450398
2.95,Ascending,212,4.6,-25.622166082576882,0.04193166
4.0,Ascending,84,5.8,-31.8408414544136,0.012823516
4.0,Ascending,98,9.1,-30.298000557434044,0.032383647
4.0,Ascending,125,4.3,-32.06411231019703,0.008486534
3.5,Ascending,211,7.3,-29.549834592133124,0.0077479426
2.95,Ascending,205,4.6,-27.864460977216922,0.011205569
2.95,Ascending,212,2.3,-27.997046037050065,0.002952354
2.95,Ascending,226,6.9,-27.85786825791426,0.022523426
2.95,Ascending,228,7.6,-27.66260876152435,0.021457024
5.0,Ascending,204,5.7,-30.31907216171095,0.0072008553
3.1,Ascending,334,3.7,-31.017743836926506,0.0042411895
3.1,Ascending,348,5.5,-30.903422360400473,0.0056457235
