"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Absolute Orbit","Relative Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","Stack ID"
"S1B_IW_GRDH_1SDV_20171123T222438_20171123T222503_008415_00EE6F_204A","SENTINEL-1B","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8415","164","164","119","2017-11-23T22:25:03.826275","2017-11-25T05:10:25Z","GRD_HD","2017-11-23T22:24:38.827649","2017-11-23T22:25:03.826275","37.7498","-66.8511","36.790874","-68.086174","37.189243","-65.270271","38.293987","-68.453545","38.690823","-65.579811","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171123T222438_20171123T222503_008415_00EE6F_204A.zip","738.57 MB","0","","","0",""
"S1B_IW_GRDH_1SDV_20171113T220857_20171113T220922_008269_00EA06_E2F7","SENTINEL-1B","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8269","18","18","128","2017-11-13T22:09:22.388007","2017-11-14T03:21:56Z","GRD_HD","2017-11-13T22:08:57.390550","2017-11-13T22:09:22.388007","40.5007","-63.3645","39.542648","-64.650009","39.938885","-61.720837","41.044083","-65.033134","41.439274","-62.037727","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171113T220857_20171113T220922_008269_00EA06_E2F7.zip","761.69 MB","0","","","0",""
"S1B_IW_GRDH_1SDV_20171103T105012_20171103T105031_008116_00E571_6A32","SENTINEL-1B","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","8116","40","40","475","2017-11-03T10:50:31.842050","2017-11-03T14:29:03Z","GRD_HD","2017-11-03T10:50:12.628080","2017-11-03T10:50:31.842050","35.3518","-72.2341","35.722382","-70.723541","36.121399","-73.498955","34.566048","-70.996925","34.966526","-73.732765","NaN","Descending","https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20171103T105012_20171103T105031_008116_00E571_6A32.zip","505.53 MB","0","","","0",""
"S1A_IW_GRDH_1SDV_20170725T095747_20170725T095821_017626_01D7FE_CD9E","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17626","54","54","530","2017-07-25T09:58:21Z","2017-07-27T03:27:58Z","GRD_HD","2017-07-25T09:57:47Z","2017-07-25T09:58:21Z","18.4928","-61.2951","19.2994","-59.9135","19.7239","-62.2676","17.2522","-60.3393","17.6814","-62.6648","NaN","Descending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170725T095747_20170725T095821_017626_01D7FE_CD9E.zip","1021.00 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170723T225031_20170723T225056_017605_01D74D_AA68","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17605","33","33","126","2017-07-23T22:50:56Z","2017-07-26T00:12:49Z","GRD_HD","2017-07-23T22:50:31Z","2017-07-23T22:50:56Z","39.699","-73.4412","38.7374","-74.736","39.1401","-71.7931","40.2395","-75.1134","40.641","-72.1058","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170723T225031_20170723T225056_017605_01D74D_AA68.zip","840.31 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170723T225006_20170723T225031_017605_01D74D_7C8F","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17605","33","33","121","2017-07-23T22:50:31Z","2017-07-26T00:05:24Z","GRD_HD","2017-07-23T22:50:06Z","2017-07-23T22:50:31Z","38.1965","-73.0991","37.2344","-74.3663","37.6385","-71.4846","38.7373","-74.736","39.1399","-71.7942","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170723T225006_20170723T225031_017605_01D74D_7C8F.zip","727.53 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170723T224941_20170723T225006_017605_01D74D_5A9A","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17605","33","33","116","2017-07-23T22:50:06Z","2017-07-26T00:20:49Z","GRD_HD","2017-07-23T22:49:41Z","2017-07-23T22:50:06Z","36.6934","-72.7626","35.7306","-74.0043","36.1364","-71.1795","37.2343","-74.3663","37.6383","-71.4856","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170723T224941_20170723T225006_017605_01D74D_5A9A.zip","802.66 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170723T224916_20170723T224941_017605_01D74D_1B1F","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17605","33","33","111","2017-07-23T22:49:41Z","2017-07-26T00:13:35Z","GRD_HD","2017-07-23T22:49:16Z","2017-07-23T22:49:41Z","35.1896","-72.4313","34.226","-73.6491","34.6336","-70.8774","35.7305","-74.0042","36.1362","-71.1806","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170723T224916_20170723T224941_017605_01D74D_1B1F.zip","834.83 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170723T224847_20170723T224916_017605_01D74D_EB6C","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17605","33","33","105","2017-07-23T22:49:16Z","2017-07-26T00:21:50Z","GRD_HD","2017-07-23T22:48:47Z","2017-07-23T22:49:16Z","33.5637","-72.0781","32.4776","-73.2445","32.8876","-70.5295","34.2259","-73.6491","34.6334","-70.8784","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170723T224847_20170723T224916_017605_01D74D_EB6C.zip","911.53 MB","-1","0","0","-1","0"
"S1A_IW_GRDH_1SDV_20170723T224624_20170723T224651_017605_01D74C_A28E","SENTINEL-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17605","33","33","76","2017-07-23T22:46:51Z","2017-07-25T22:55:05Z","GRD_HD","2017-07-23T22:46:24Z","2017-07-23T22:46:51Z","24.8552","-70.3112","23.8288","-71.3635","24.2456","-68.922","25.4564","-71.7127","25.8701","-69.2384","NaN","Ascending","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170723T224624_20170723T224651_017605_01D74C_A28E.zip","794.06 MB","-1","0","0","-1","0"
