name,height,lat,lon
0y2w3,10.0,44.794,-87.313
13001,4.0,12.0,-23.0
13002,4.0,21.0,-23.0
13008,4.0,15.0,-38.0
13009,4.0,8.0,-38.0
13010,4.0,0.0,0.0
15001,4.0,-10.0,-10.0
15002,4.0,0.0,-10.0
15006,4.0,-6.0,-10.0
15007,4.0,-6.0,8.0
15319,4.0,-5.583,11.833
18ci3,21.0,41.73,-86.91
18cy3,21.0,41.73,-86.91
20cm4,24.0,42.09,-86.49
21178,24.0,33.12,133.62
21346,24.0,40.302,146.192
21347,24.0,39.601,145.799
21348,24.0,38.816,145.595
21401,24.0,42.617,152.583
21402,24.0,46.488,158.343
21413,24.0,30.533,152.132
21414,24.0,48.968,178.219
21415,24.0,50.167,171.915
21416,24.0,48.122,163.328
21417,24.0,43.192,157.142
21418,24.0,38.735,148.64
21419,24.0,44.435,155.717
22101,24.0,37.23,126.02
22102,24.0,34.8,125.77
22103,24.0,34.0,127.5
22104,24.0,34.77,128.9
22105,24.0,37.53,130.0
22106,24.0,36.35,129.78
22107,24.0,33.08,126.03
22108,24.0,36.25,125.75
23020,24.0,22.162,38.5
23217,24.0,3.798,91.701
23218,24.0,9.999,88.5
23219,24.0,13.5,88.998
23220,24.0,14.433,89.333
23223,24.0,17.333,89.483
23226,24.0,20.2,67.333
23227,24.0,6.255,88.792
23228,24.0,20.799,65.347
23401,24.0,8.86,88.548
23461,24.0,9.541,95.668
28401,4.0,32.288,144.608
31001,4.0,0.0,-35.0
31002,4.0,4.0,-38.0
31003,4.0,-8.0,-30.0
31004,4.0,-14.0,-32.0
31005,4.0,-19.0,-34.0
31006,4.0,4.0,-23.0
31007,4.0,0.0,-23.0
31051,3.7,-25.283,-44.933
31052,3.7,-8.15,-34.567
31053,3.7,-32.595,-51.353
31201,3.7,-27.705,-48.134
31260,3.7,-23.031,-43.088
31261,3.7,-31.538,-49.862
31478,3.7,-22.882,-43.132
32012,3.7,-19.425,-85.078
32066,3.7,-1.136,-81.765
32067,3.7,0.641,-81.262
32301,5.0,-9.9,-105.2
32302,5.0,-18.0,-85.1
32401,5.0,-20.474,-73.421
32402,5.0,-26.743,-73.983
32403,5.0,-23.163,-72.037
32404,5.0,-32.118,-73.783
32411,5.0,4.995,-90.85
32412,5.0,-17.984,-86.374
32413,5.0,-7.406,-93.517
32487,5.0,3.517,-77.737
32488,5.0,6.258,-77.511
32489,5.0,2.998,-79.101
32746,4.0,-5.0,-110.0
32st0,2.71,-19.43,-85.074
34002,6.2,-55.0,-90.0
34420,6.2,-35.758,-75.243
3fus2,6.2,70.5,-148.5
41001,4.0,34.625,-72.617
41002,5.0,31.76,-74.84
41003,5.0,30.4,-80.1
41004,4.0,32.501,-79.099
41005,4.0,31.7,-79.7
41006,4.0,29.3,-77.4
41007,4.0,34.2,-76.5
41008,5.0,31.4,-80.868
41009,4.0,28.501,-80.184
41010,4.0,28.884,-78.45
41011,4.0,28.2,-80.1
41012,5.0,30.042,-80.534
41013,4.0,33.436,-77.743
41015,4.0,35.4,-75.3
41016,4.0,24.6,-76.5
41017,4.0,35.4,-75.1
41018,4.0,15.0,-75.0
41021,4.0,31.92,-80.85
41022,4.0,31.89,-80.86
41023,4.0,31.92,-80.93
41024,2.95,33.837,-78.484
41025,5.0,35.005,-75.403
41026,4.0,12.0,-38.0
41029,2.95,32.803,-79.624
41033,2.95,32.279,-80.41
41035,5.0,34.476,-77.28
41036,5.0,34.207,-76.949
41037,2.95,33.989,-77.361
41038,2.95,34.142,-77.719
41040,4.0,14.559,-53.073
41041,5.0,14.329,-46.082
41043,4.0,21.132,-64.856
41044,4.0,21.575,-58.625
41046,4.0,23.832,-68.417
41047,4.0,27.52,-71.53
41048,5.0,31.86,-69.59
41049,5.0,27.537,-62.945
41051,4.0,18.257,-65.004
41052,4.0,18.251,-64.763
41057,3.35,19.833,-70.731
41060,3.35,14.754,-50.949
41061,3.35,24.581,-38.0
41062,3.5,35.778,-75.095
41063,3.5,34.782,-75.941
41064,2.95,34.207,-76.949
41096,2.95,16.533,-61.404
41097,2.95,14.48,-61.096
41098,2.95,14.894,-61.113
41100,2.95,15.9,-57.883
41101,2.95,14.6,-56.201
41108,2.95,33.721,-78.015
41109,2.95,34.484,-77.3
41110,2.95,34.141,-77.717
41112,2.95,30.709,-81.292
41113,2.95,28.4,-80.534
41114,2.95,27.55,-80.217
41116,2.95,28.523,-80.188
41117,2.95,30.0,-81.08
41118,2.95,28.609,-80.59
41139,4.0,20.0,-38.0
41140,4.0,17.769,-64.723
41141,4.0,17.684,-64.635
41159,4.0,34.21,-76.948
41193,4.0,12.351,-72.218
41194,4.0,11.161,-74.681
41420,4.0,23.508,-67.287
41421,4.0,23.38,-64.112
41424,4.0,33.0,-72.66
41a46,4.0,23.838,-68.333
