file_name,ndbc_dir
Descending_51000_subset_ 73_ 7.2_5.0_S1B_IW_GRDH_1SDV_20170522T161401_20170522T161430_005713_00A024_4EF8,207
Descending_51003_subset_ 60_ 3.9_5.0_S1B_IW_GRDH_1SDV_20170520T163150_20170520T163215_005684_009F4F_7C84,220
Ascending_41001_subset_225_10.4_4.0_S1A_IW_GRDH_1SDV_20170723T224916_20170723T224941_017605_01D74D_1B1F,145
Ascending_41002_subset_181_ 4.4_5.0_S1A_IW_GRDH_1SDV_20170709T230453_20170709T230518_017401_01D117_1C5B,189
Ascending_41002_subset_193_ 3.4_5.0_S1A_IW_GRDH_1SDV_20170522T230450_20170522T230515_016701_01BBB0_8C4E,177
Descending_46047_subset_300_ 6.5_5.0_S1A_IW_GRDH_1SDV_20170520T140035_20170520T140100_016666_01BA9A_0D7A,-20
Ascending_41010_subset_ 96_ 4.2_4.0_S1A_IW_GRDH_1SDV_20170520T232012_20170520T232037_016672_01BACC_C4C5,274
Ascending_41010_subset_105_ 3.6_4.0_S1A_IW_GRDH_1SDV_20170714T231225_20170714T231250_017474_01D358_C337,265
Ascending_41010_subset_127_ 5.0_4.0_S1A_IW_GRDH_1SDV_20170719T232015_20170719T232040_017547_01D590_DF13,243
Ascending_41025_subset_205_ 7.9_5.0_S1A_IW_GRDH_1SDV_20170522T230540_20170522T230605_016701_01BBB0_F52D,165
Ascending_41043_subset_ 84_ 5.8_4.0_S1A_IW_GRDH_1SDV_20170713T222858_20170713T222923_017459_01D2E5_CFEC,286
Ascending_41063_subset_211_ 7.3_3.5_S1A_IW_GRDH_1SDV_20170522T230540_20170522T230605_016701_01BBB0_F52D,159
Ascending_42020_subset_133_ 7.9_5.0_S1A_IW_GRDH_1SDV_20170518T003352_20170518T003417_016629_01B977_711A,237
Ascending_42044_subset_124_ 6.2_3.4_S1A_IW_GRDH_1SDV_20170518T003352_20170518T003417_016629_01B977_711A,246
Ascending_42044_subset_124_ 6.2_3.4_S1A_IW_GRDH_1SDV_20170518T003352_20170518T003417_016629_01B977_711A,246
Ascending_46011_subset_318_ 9.2_5.0_S1B_IW_GRDH_1SDV_20170519T020543_20170519T020608_005661_009EA1_F4DF,52
Ascending_46012_subset_310_ 7.7_5.0_S1B_IW_GRDH_1SDV_20170519T020633_20170519T020658_005661_009EA1_0EC4,60
Ascending_46015_subset_  8_12.4_4.0_S1B_IW_GRDH_1SDV_20170524T021630_20170524T021655_005734_00A0BC_0BC1,362
Ascending_46015_subset_344_ 5.2_4.0_S1B_IW_GRDH_1SDV_20170519T020813_20170519T020838_005661_009EA1_CCAD,26
Ascending_46022_subset_349_ 4.2_5.0_S1B_IW_GRDH_1SDV_20170519T020723_20170519T020748_005661_009EA1_E782,21
Ascending_46026_subset_307_ 8.8_5.0_S1B_IW_GRDH_1SDV_20170519T020633_20170519T020658_005661_009EA1_0EC4,63
Ascending_41043_subset_ 98_ 9.1_4.0_S1A_IW_GRDH_1SDV_20170619T222856_20170619T222921_017109_01C856_7E63,272
Ascending_42020_subset_ 24_ 2.0_5.0_S1A_IW_GRDH_1SDV_20170530T003353_20170530T003418_016804_01BEDA_7F64,346
Ascending_46050_subset_360_ 9.2_4.0_S1B_IW_GRDH_1SDV_20170524T021655_20170524T021720_005734_00A0BC_25B3,10
Ascending_46086_subset_248_ 1.7_5.0_S1B_IW_GRDH_1SDV_20170526T015705_20170526T015734_005763_00A197_F34D,122
Ascending_51000_subset_108_ 5.6_5.0_S1B_IW_GRDH_1SDV_20170520T042241_20170520T042306_005677_009F19_E059,262
Ascending_51001_subset_ 36_ 6.9_4.0_S1B_IW_GRDH_1SDV_20170528T045559_20170528T045625_005794_00A280_F07C,334
Ascending_51004_subset_ 59_ 7.6_4.0_S1B_IW_GRDH_1SDV_20170520T042057_20170520T042126_005677_009F19_5021,311
Ascending_51101_subset_ 35_ 6.4_5.0_S1B_IW_GRDH_1SDV_20170528T045534_20170528T045559_005794_00A280_C65C,335
Ascending_46022_subset_350_ 6.1_5.0_S1B_IW_GRDH_1SDV_20170524T021540_20170524T021605_005734_00A0BC_83DF,20
Ascending_51002_subset_ 76_ 9.0_4.0_S1B_IW_GRDH_1SDV_20170518T043719_20170518T043748_005648_009E41_D46F,294
Descending_46012_subset_318_ 6.6_5.0_S1A_IW_GRDH_1SDV_20170518T141604_20170518T141629_016637_01B9B7_C40C,-38
Descending_46013_subset_323_ 7.6_4.0_S1A_IW_GRDH_1SDV_20170518T141539_20170518T141604_016637_01B9B7_3824,-43
Descending_46014_subset_338_10.1_4.0_S1A_IW_GRDH_1SDV_20170518T141514_20170518T141539_016637_01B9B7_F4A7,-58
Descending_46026_subset_330_ 4.2_5.0_S1A_IW_GRDH_1SDV_20170518T141539_20170518T141604_016637_01B9B7_3824,-50
Descending_46041_subset_309_ 5.4_5.0_S1B_IW_GRDH_1SDV_20170522T142850_20170522T142915_005712_00A01B_C4AD,-29
Descending_46069_subset_299_ 8.2_5.0_S1A_IW_GRDH_1SDV_20170520T140035_20170520T140100_016666_01BA9A_0D7A,-19
