,ascending,ndbc,ndbc_dir,ndbc_height,ndbc_speed,sar_name
0,Descending,46100,334,4.5,5.9,S1B_IW_GRDH_1SDV_20170522T142850_20170522T142915_005712_00A01B_C4AD
1,Descending,51000,73,5.0,7.2,S1B_IW_GRDH_1SDV_20170522T161401_20170522T161430_005713_00A024_4EF8
2,Descending,51003,60,5.0,3.9,S1B_IW_GRDH_1SDV_20170520T163150_20170520T163215_005684_009F4F_7C84
3,Descending,51003,88,5.0,4.2,S1A_IW_GRDH_1SDV_20170526T163232_20170526T163257_016755_01BD5F_595F
4,Descending,51004,44,4.0,5.8,S1B_IW_GRDH_1SDV_20170524T155934_20170524T160002_005742_00A0F0_5BB2
5,Descending,buzm3,226,24.8,9.7,S1B_IW_GRDH_1SDV_20170519T104833_20170519T104859_005666_009ECB_2CE8
6,Descending,desw1,287,31.4,0.1,S1B_IW_GRDH_1SDV_20170522T142850_20170522T142915_005712_00A01B_C4AD
7,Descending,iosn3,241,19.2,7.9,S1B_IW_GRDH_1SDV_20170519T104739_20170519T104808_005666_009ECB_5585
8,Descending,mism1,158,22.9,9.1,S1B_IW_GRDH_1SDV_20170531T104740_20170531T104759_005841_00A3D8_AB50
9,Descending,nwpo3,23,9.4,2.2,S1B_IW_GRDH_1SDV_20170522T142940_20170522T143005_005712_00A01B_E663
10,Descending,nwpo3,351,9.4,8.1,S1A_IW_GRDH_1SDV_20170523T142220_20170523T142245_016710_01BBF3_FC94
11,Descending,ptgc1,1,9.4,11.5,S1A_IW_GRDH_1SDV_20170520T140010_20170520T140035_016666_01BA9A_7C2B
12,Descending,spgf1,179,6.6,4.8,S1A_IW_GRDH_1SDV_20170523T110938_20170523T111007_016708_01BBE5_2CA1
13,Ascending,41001,132,4.0,4.0,S1A_IW_GRDH_1SDV_20170629T224915_20170629T224940_017255_01CCB2_E50C
14,Ascending,41001,201,4.0,5.9,S1A_IW_GRDH_1SDV_20170711T224915_20170711T224940_017430_01D200_26BF
15,Ascending,41001,225,4.0,10.4,S1A_IW_GRDH_1SDV_20170723T224916_20170723T224941_017605_01D74D_1B1F
16,Ascending,41002,181,5.0,4.4,S1A_IW_GRDH_1SDV_20170709T230453_20170709T230518_017401_01D117_1C5B
17,Ascending,41002,193,5.0,3.4,S1A_IW_GRDH_1SDV_20170522T230450_20170522T230515_016701_01BBB0_8C4E
18,Ascending,41002,199,5.0,4.7,S1A_IW_GRDH_1SDV_20170721T230453_20170721T230518_017576_01D66A_9258
19,Ascending,41004,194,4.0,5.8,S1A_IW_GRDH_1SDV_20170702T231315_20170702T231340_017299_01CE10_C1B4
20,Ascending,41004,195,4.0,6.0,S1A_IW_GRDH_1SDV_20170714T231315_20170714T231340_017474_01D358_27B6
21,Ascending,41004,218,4.0,1.5,S1A_IW_GRDH_1SDV_20170620T231314_20170620T231339_017124_01C8C8_8CBB
22,Ascending,41009,121,4.0,5.9,S1A_IW_GRDH_1SDV_20170520T232012_20170520T232037_016672_01BACC_C4C5
23,Ascending,41009,138,4.0,5.3,S1A_IW_GRDH_1SDV_20170707T232015_20170707T232040_017372_01D037_7AB9
24,Ascending,41009,139,4.0,4.2,S1A_IW_GRDH_1SDV_20170719T232015_20170719T232040_017547_01D590_DF13
25,Ascending,mism1,143,22.9,6.3,S1B_IW_GRDH_1SDV_20170527T222612_20170527T222640_005790_00A262_A826
26,Ascending,pilm4,257,15.5,10.3,S1A_IW_GRDH_1SDV_20170530T234219_20170530T234244_016818_01BF4E_BDA5
